department_ascii,election_year,poll_date,margin_pp_poll,candidate_a_name,candidate_b_name,pollster_id,sample_size,source,source_url,notes
Guaira,2013,2013-04-14,22.3,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,regional_breakdown_only; source groups Región Centro = Paraguari+Guaira+Caazapa
Caazapa,2013,2013-04-14,22.3,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,regional_breakdown_only; source groups Región Centro = Paraguari+Guaira+Caazapa
Alto Parana,2013,2013-04-14,21.3,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,regional_proxy; source's Región Este mapped to Alto Parana (not explicitly itemized by department)
Itapua,2013,2013-04-14,7.9,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,regional_proxy; source's Región Sur mapped to Itapua+Misiones+Neembucu (not explicitly itemized by department)
Misiones,2013,2013-04-14,7.9,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,regional_proxy; source's Región Sur mapped to Itapua+Misiones+Neembucu (not explicitly itemized by department)
Neembucu,2013,2013-04-14,7.9,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,regional_proxy; source's Región Sur mapped to Itapua+Misiones+Neembucu (not explicitly itemized by department)
Concepcion,2013,2013-04-14,4.5,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,regional_proxy; source's Región Norte mapped to Concepcion+San Pedro+Amambay+Canindeyu (not explicitly itemized by department)
San Pedro,2013,2013-04-14,4.5,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,regional_proxy; source's Región Norte mapped to Concepcion+San Pedro+Amambay+Canindeyu (not explicitly itemized by department)
Amambay,2013,2013-04-14,4.5,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,regional_proxy; source's Región Norte mapped to Concepcion+San Pedro+Amambay+Canindeyu (not explicitly itemized by department)
Canindeyu,2013,2013-04-14,4.5,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,regional_proxy; source's Región Norte mapped to Concepcion+San Pedro+Amambay+Canindeyu (not explicitly itemized by department)
Asuncion,2018,2018-04-19,-6.8,Mario Abdo Benítez,Mario Alegre,ATI_SNEAD,1500,"Infobae (Apr 19 2018): Guerra de encuestas y cuenta regresiva en Paraguay (Ati Snead poll, fieldwork Apr 15-18 2018)",https://www.infobae.com/america/america-latina/2018/04/19/guerra-de-encuestas-y-cuenta-regresiva-en-paraguay-quienes-son-los-favoritos/,
Central,2018,2018-04-19,-9.6,Mario Abdo Benítez,Mario Alegre,ATI_SNEAD,1500,"Infobae (Apr 19 2018): Guerra de encuestas y cuenta regresiva en Paraguay (Ati Snead poll, fieldwork Apr 15-18 2018)",https://www.infobae.com/america/america-latina/2018/04/19/guerra-de-encuestas-y-cuenta-regresiva-en-paraguay-quienes-son-los-favoritos/,
Asuncion,2018,2018-04-10,31.0,Mario Abdo Benítez,Mario Alegre,GRAU,360,"Última Hora (Apr 10 2018): Marito aventaja 24 puntos a Alegre en intención de voto (Grau & Asociados poll, fieldwork Mar 27-Apr 8 2018)",https://www.ultimahora.com/marito-aventaja-24-puntos-alegre-intencion-voto-n1142092.html,
Central,2018,2018-04-10,11.5,Mario Abdo Benítez,Mario Alegre,GRAU,,"Última Hora (Apr 10 2018): Marito aventaja 24 puntos a Alegre en intención de voto (Grau & Asociados poll, fieldwork Mar 27-Apr 8 2018)",https://www.ultimahora.com/marito-aventaja-24-puntos-alegre-intencion-voto-n1142092.html,
Paraguari,2018,2018-04-10,50.0,Mario Abdo Benítez,Mario Alegre,GRAU,,"Última Hora (Apr 10 2018): Marito aventaja 24 puntos a Alegre en intención de voto (Grau & Asociados poll, fieldwork Mar 27-Apr 8 2018)",https://www.ultimahora.com/marito-aventaja-24-puntos-alegre-intencion-voto-n1142092.html,
