model,fold,n_rows,n_eff_weight,rmse,mae,weighted_mad,department,swing_2018,m_pp,sigma_national_pp,sigma_idio_pp,sigma_dept_pp,mu_dept_pp,z,P_recomputed,P_exported,dz_dm,dz_dsigma_dept,saturated_z_gt_3,statistic,value,true_mad_improvement_pp,power,type_ii_error
,,,,,,,Canindeyu,1.9467441781962007,13.52132559595325,10.620178398133142,10.905539325984375,15.222318391058753,26.322561885417265,1.7292084693799694,0.9581141044518724,0.9581141044518724,0.12788749572730487,-0.11359691900779499,False,,,,,
,,,,,,,Presidente Hayes,2.365759464455768,13.52132559595325,10.620178398133142,5.69494673024284,12.050751323817012,31.988204000614427,2.654457231840241,0.9960281945715643,0.9960281945715643,0.19631634583481106,-0.22027317305884422,False,,,,,
,,,,,,,Boqueron,10.490280386053946,13.52132559595325,10.620178398133142,5.69494673024284,12.050751323817012,141.84249669267757,11.770427658924564,1.0,1.0,0.8705084109835572,-0.9767380757133027,True,,,,,
,,,,,,,Alto Paraguay,5.326360914741706,13.52132559595325,10.620178398133142,5.69494673024284,12.050751323817012,72.019460169782,5.976346057979247,0.99999999885901,0.99999999885901,0.44199409411218427,-0.49593140687980525,True,,,,,
,,,,,,,,,,,,,,,,,,,,ppc_pvalue_max_margin_2013,0.6336,,,
,,,,,,,,,,,,,,,,,,,,ppc_pvalue_min_margin_2013,0.9994,,,
,,,,,,,,,,,,,,,,,,,,ppc_pvalue_max_margin_2018,0.6282,,,
,,,,,,,,,,,,,,,,,,,,ppc_pvalue_min_margin_2018,0.8166,,,
,,,,,,,,,,,,,,,,,,,,ppc_pvalue_ceiling_count,0.4162,,,
,,,,,,,,,,,,,,,,,,,,observed_ceiling_count,8.0,,,
,,,,,,,,,,,,,,,,,,,,sim_ceiling_q5,0.0,,,
,,,,,,,,,,,,,,,,,,,,sim_mean_abs_z_q5,0.20094592901568684,,,
,,,,,,,,,,,,,,,,,,,,sim_max_p_q5,0.5637726615581344,,,
,,,,,,,,,,,,,,,,,,,,sim_ceiling_q50,5.0,,,
,,,,,,,,,,,,,,,,,,,,sim_mean_abs_z_q50,2.0824252810903854,,,
,,,,,,,,,,,,,,,,,,,,sim_max_p_q50,0.9999999999998612,,,
,,,,,,,,,,,,,,,,,,,,sim_ceiling_q95,11.0,,,
,,,,,,,,,,,,,,,,,,,,sim_mean_abs_z_q95,5.433803635427056,,,
,,,,,,,,,,,,,,,,,,,,sim_max_p_q95,1.0,,,
,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,1.0
,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,1.0
,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,1.0
,,,,,,,,,,,,,,,,,,,,,,20.0,0.0,1.0
,,,,,,,,,,,,,,,,,,,,,,25.0,1.0,0.0
